Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,avg_brightness,light_or_dark,T_proxy,outcome,y0,y1
73,Farberware Mini Blender Fruit Mixer Machine Portable Electric Juicer grinder Cup 380ML Personal Blender Smoothie Maker USB...,appliances,All Appliances,https://m.media-amazon.com/images/I/716mmFt0PGL._AC_UL320_.jpg,https://www.amazon.in/Farberware-Portable-Electric-Rechargeable-Extractor/dp/B0BRXQD38T/ref=sr_1_74_mod_primary_new?qid=1679135589&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-74,2.9,6071,₹499,1199.0,/root/graduation_thetis/causal-bert-pytorch/input/images/73.jpg,131890.0,4380.767888878614,1,199.54071835691823,1,1,1,0.4881361014830912,0.6797309200954137
74,"PHILIPS Handheld Garment Steamer STH3000/20 - Compact & Foldable, Convenient Vertical Steaming, 1000 Watt Quick Heat Up, u...",appliances,All Appliances,https://m.media-amazon.com/images/I/71W2XPQdBqL._AC_UL320_.jpg,https://www.amazon.in/PHILIPS-Handheld-Garment-STH3000-20/dp/B08TM71L54/ref=sr_1_75?qid=1679135589&s=appliances&sr=1-75,4.0,1553,"₹3,995",4095.0,/root/graduation_thetis/causal-bert-pytorch/input/images/74.jpg,450450.0,1789.6751862515243,0,199.71165959302323,1,1,1,0.5118638985169088,0.7000349937912599
75,"Cookwell Bullet Mixer Grinder (5 Jars, 3 Blades, Silver)",appliances,All Appliances,https://m.media-amazon.com/images/I/81yobRRV8nL._AC_UL320_.jpg,https://www.amazon.in/Cookwell-Bullet-Mixer-Grinder-Silver/dp/B097XJQZ8H/ref=sr_1_76?qid=1679135589&s=appliances&sr=1-76,4.1,9592,"₹2,479",6000.0,/root/graduation_thetis/causal-bert-pytorch/input/images/75.jpg,660000.0,5434.679446606064,1,206.26561123046872,1,1,1,0.4881361014830912,0.6797309200954137
76,"Bajaj ATX 4 750-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow...",appliances,All Appliances,https://m.media-amazon.com/images/I/51D5T7TGVbL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-ATX-750-Watt-Pop-up-Toaster/dp/B0073QGKAS/ref=sr_1_77?qid=1679135589&s=appliances&sr=1-77,4.3,9520,"₹1,499",2250.0,/root/graduation_thetis/causal-bert-pytorch/input/images/76.jpg,247500.0,1697.7355425458063,0,214.46512723817568,1,1,0,0.5118638985169088,0.7000349937912599
80,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",appliances,All Appliances,https://m.media-amazon.com/images/I/51bfOnh2M4L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-1500-Watt-Immersion-Heater-Plug/dp/B00ABMASXG/ref=sr_1_81?qid=1679135589&s=appliances&sr=1-81,4.1,36955,₹539,665.0,/root/graduation_thetis/causal-bert-pytorch/input/images/80.jpg,73150.0,8663.429272995938,1,210.39534887152777,1,1,1,0.4881361014830912,0.6797309200954137
82,KENT 16052 Elegant Electric Glass Kettle 1.8L 2000 W | Blue LED Illumination | Borosilicate Glass Body | Boil Drying Prote...,appliances,All Appliances,https://m.media-amazon.com/images/I/71mNVZxebrL._AC_UL320_.jpg,https://www.amazon.in/KENT-Elegant-Electric-Kettle-Silver/dp/B07YR26BJ3/ref=sr_1_83?qid=1679135589&s=appliances&sr=1-83,4.0,14773,"₹1,212",1850.0,/root/graduation_thetis/causal-bert-pytorch/input/images/82.jpg,203500.0,3286.385948830584,1,200.32395339147288,1,1,1,0.4881361014830912,0.6797309200954137
84,"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",appliances,All Appliances,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19YNZE/dp/B0BQ3MXML8/ref=sr_1_85?qid=1679135589&s=appliances&sr=1-85,4.2,2948,"₹46,490",75990.0,/root/graduation_thetis/causal-bert-pytorch/input/images/84.jpg,8358900.0,4512.288888175549,1,216.2042379222973,1,1,1,0.4881361014830912,0.6797309200954137
85,ACTIVA 1200 MM HIGH SPEED 390 RPM BEE APPROVED 5 STAR RATED APSRA CEILING FAN BROWN 2 Years Warranty,appliances,All Appliances,https://m.media-amazon.com/images/I/31hXo964hqL._AC_UL320_.jpg,https://www.amazon.in/ACTIVA-APSRA-Approved-Ceiling-Warranty/dp/B07ZJND9B9/ref=sr_1_86?qid=1679135589&s=appliances&sr=1-86,3.9,6995,"₹1,099",1990.0,/root/graduation_thetis/causal-bert-pytorch/input/images/85.jpg,218900.0,1444.3084603776333,0,213.04082763776884,1,1,1,0.5118638985169088,0.7000349937912599
88,Candes Star 1200mm/48 inch High Speed Anti-dust Decorative 5 Star Rated Ceiling Fan 405 RPM with 2 Yrs Warranty (Coffee Br...,appliances,All Appliances,https://m.media-amazon.com/images/I/51s36oqI6KL._AC_UL320_.jpg,https://www.amazon.in/Candes-Star-Anti-dust-Decorative-Warranty/dp/B09296RG1X/ref=sr_1_89?qid=1679135589&s=appliances&sr=1-89,3.8,1161,"₹1,299",2299.0,/root/graduation_thetis/causal-bert-pytorch/input/images/88.jpg,252890.0,3463.298754661572,1,218.48724918699185,1,1,0,0.4881361014830912,0.6797309200954137
90,"LG 1 Ton 4 Star Ai Dual Inverter Split Ac (Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti Virus Protection,...",appliances,All Appliances,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-protection-RS-Q13JNYE/dp/B0BPYN9JGF/ref=sr_1_91?qid=1679135589&s=appliances&sr=1-91,4.2,1206,"₹34,490",61990.0,/root/graduation_thetis/causal-bert-pytorch/input/images/90.jpg,6818900.0,4512.288888175549,1,216.2042379222973,1,1,1,0.4881361014830912,0.6797309200954137
92,"Havells Ambrose 1200mm Energy Saving with Remote Control 5 Star Decorative BLDC Ceiling Fan (Gold Mist Wood, Pack of 1)",appliances,All Appliances,https://m.media-amazon.com/images/I/61nt66+QH5L._AC_UL320_.jpg,https://www.amazon.in/Havells-Ambrose-Control-Decorative-Ceiling/dp/B0BHJCC4S5/ref=sr_1_93?qid=1679135589&s=appliances&sr=1-93,4.3,10025,"₹3,399",4510.0,/root/graduation_thetis/causal-bert-pytorch/input/images/92.jpg,496100.0,1348.9356910671254,0,244.0273381625442,1,1,1,0.5118638985169088,0.7000349937912599
95,"Butterfly Smart Mixer Grinder, 750W, 4 Jars (Grey)",appliances,All Appliances,https://m.media-amazon.com/images/I/71+cDVETcIL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-Smart-750-Watt-Mixer-Grinder/dp/B075JJ5NQC/ref=sr_1_96?qid=1679135589&s=appliances&sr=1-96,4.0,21290,"₹2,799",4999.0,/root/graduation_thetis/causal-bert-pytorch/input/images/95.jpg,549890.0,6373.239669478045,1,200.71489750951775,1,1,1,0.4881361014830912,0.6797309200954137
96,"Crompton InstaGlide 1000-Watts Dry Iron with American Heritage Coating, Pack of 1 Iron",appliances,All Appliances,https://m.media-amazon.com/images/I/713pM4iTawL._AC_UL320_.jpg,https://www.amazon.in/Crompton-InstaGlide-Certified-Dry-Iron/dp/B08235JZFB/ref=sr_1_97?qid=1679135591&s=appliances&sr=1-97,4.1,7959,₹807,1000.0,/root/graduation_thetis/causal-bert-pytorch/input/images/96.jpg,110000.0,2580.5794249683577,0,200.439253936531,1,1,1,0.5118638985169088,0.7000349937912599
