Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,light_or_dark,T_proxy,outcome,y0,y1
96,Sonata Wedding Analog Silver Dial Women's Watch -NM8080BM01 / NL8080BM01/NP8080BM01,accessories,Watches,https://m.media-amazon.com/images/I/61zBBVdVKCL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Wedding-Analog-Silver-Watch-NJ8080BM01C/dp/B00DBSHLSC/ref=sr_1_101?qid=1679155586&s=watches&sr=1-101,4.3,1222,"₹1,089",1399.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/96.jpg,153890.0,7904.74704007992,0,1,1,1,0.5643943279946857,0.742502410492488
97,Sonata Pankh Analog Champagne Dial Women's Watch NM8085YM05/NN8085YM05/NP8085YM05,accessories,Watches,https://m.media-amazon.com/images/I/61gSzcTeEvL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Analog-Champagne-Womens-Watch-8085YM05/dp/B079MMBBWM/ref=sr_1_102?qid=1679155586&s=watches&sr=1-102,4.2,1184,,1275.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/97.jpg,140250.0,7034.914890990325,0,1,1,1,0.5643943279946857,0.742502410492488
99,Fastrack Ruffles Analog Grey Dial Women's Watch-6207SL01,accessories,Watches,https://m.media-amazon.com/images/I/71QvJho7CEL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Ruffles-Analog-Womens-Watch-6207SL01/dp/B08H847BG9/ref=sr_1_104?qid=1679155586&s=watches&sr=1-104,4.0,131,"₹1,879",2495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/99.jpg,274450.0,3211.232887384449,0,1,1,1,0.5643943279946857,0.742502410492488
100,Casio Vintage Series Digital Gold Dial Women's Watch-LA670WGA-1DF,accessories,Watches,https://m.media-amazon.com/images/I/61AmKThyUrL._AC_UL320_.jpg,https://www.amazon.in/Casio-Womens-LA670WGA-1DF-Digital-Gold-tone/dp/B003BJFQW4/ref=sr_1_105?qid=1679155586&s=watches&sr=1-105,4.6,7710,,3995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/100.jpg,439450.0,12062.748623727955,1,1,1,1,0.4514033691933461,0.6467989107992148
101,Fossil Original Boyfriend Analog Silver Dial Women's Watch-ES3838,accessories,Watches,https://m.media-amazon.com/images/I/61x+XDaQg5L._AC_UL320_.jpg,https://www.amazon.in/Fossil-Original-Boyfriend-Analog-Watch-ES3838/dp/B00WM0OSPO/ref=sr_1_106?qid=1679155586&s=watches&sr=1-106,4.5,1307,"₹7,197",11995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/101.jpg,1319450.0,7059.491917788261,0,1,1,0,0.5643943279946857,0.742502410492488
103,Daniel Klein Analog Blue Dial Women's Watch-DK11467-5,accessories,Watches,https://m.media-amazon.com/images/I/51vQP8nfAaL._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK11467-5/dp/B07B6BF4J9/ref=sr_1_108?qid=1679155586&s=watches&sr=1-108,4.0,290,"₹2,780",5940.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/103.jpg,653400.0,4456.646137944755,0,0,0,1,0.5643943279946857,0.742502410492488
104,ADAMO Aritocrat Women's Watch - BG-336,accessories,Watches,https://m.media-amazon.com/images/I/612jYMsjiRL._AC_UL320_.jpg,https://www.amazon.in/ADAMO-Aritocrat-White-Womens-336KKM01/dp/B09FXKH427/ref=sr_1_109?qid=1679155586&s=watches&sr=1-109,4.0,489,₹549,2495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/104.jpg,274450.0,14027.441936559677,1,1,1,1,0.4514033691933461,0.6467989107992148
105,IIK COLLECTION Analog Women's Watch Stainless Steel Dial Wrist Watches for Women Stylish Belt Ladies Watch - Water Resista...,accessories,Watches,https://m.media-amazon.com/images/I/61Ls2WUoePL._AC_UL320_.jpg,https://www.amazon.in/Collection-Watches-Analogue-Silver-Womens/dp/B01N2QSEE1/ref=sr_1_110?qid=1679155586&s=watches&sr=1-110,3.9,3336,₹599,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/105.jpg,219890.0,5984.899855887421,0,1,1,1,0.5643943279946857,0.742502410492488
106,Fastrack Analog Black Dial Women's Watch-NL6109SM02/NP6109SM02,accessories,Watches,https://m.media-amazon.com/images/I/61-54LgTT+L._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Black-Womens-Watch-NK6109SM02/dp/B013STYBV8/ref=sr_1_111?qid=1679155586&s=watches&sr=1-111,4.3,1716,"₹2,695",2895.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/106.jpg,318450.0,6920.18126641226,0,1,1,1,0.5643943279946857,0.742502410492488
107,Casio Vintage Series Digital Black Dial Unisex-Adult Watch-D205,accessories,Watches,https://m.media-amazon.com/images/I/61Bp8pGSuRL._AC_UL320_.jpg,https://www.amazon.in/Casio-Ladies-LA680WGA-1B-Metal-Quartz/dp/B00N17RT9E/ref=sr_1_112?qid=1679155586&s=watches&sr=1-112,4.0,185,,4495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/107.jpg,494450.0,13743.649230328345,1,1,1,0,0.4514033691933461,0.6467989107992148
