experiment,ATE,ATE_adjusted,ATE_unadjusted,batch_size,desc,epochs,model_name,seed,treatment_column
exp1,-0.2737385380731811,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp10,-0.37560295558265305,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,1000,T_proxy
exp11,0.08475636621511715,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp12,0.09802503315475651,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp13,-0.1322071496574062,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp14,-0.14688118322685353,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp15,-0.2153883927187996,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp16,-0.21674779873949335,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp17,-0.2075057069311038,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp18,-0.2807854681742453,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp19,-0.16246897551018233,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
exp2,-0.2596863373239117,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp20,-0.13741666234844374,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
exp21,-0.2658288453655266,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp22,-0.2718410888114722,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp23,-0.4088769254407682,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp24,-0.26533203606198236,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp25,-0.11236081475890558,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp26,-0.11702061712652398,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp27,0.17326315093717393,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp28,0.21320804446852218,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp29,-0.27574940999969083,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp3,-0.19526762184085997,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,123,T_proxy
exp30,-0.29784850172582056,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp31,-0.06912713587509582,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp32,-0.18039331096674127,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp33,-0.2769865484857323,-0.02396356601053925,-0.1620856425265168,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3000,T_proxy
exp34,-0.08003803346010964,-0.08850953597400513,-0.17687693297631651,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3000,T_proxy
