experiment,ATE,ATE_adjusted,ATE_unadjusted,batch_size,desc,epochs,model_name,seed,treatment_column
exp1,-0.2724294607593358,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp10,-0.275438435847865,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,456,T_proxy
exp100,-0.3002551371112083,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,1000,T_proxy
exp101,-0.21706834062343033,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2000,T_proxy
exp102,-0.20696999436243024,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2000,T_proxy
exp103,-0.16595250266466904,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2000,T_proxy
exp104,-0.1588700699010714,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2000,T_proxy
exp105,-0.2012129465323519,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3000,T_proxy
exp106,-0.24985506866548932,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3000,T_proxy
exp107,-0.15817506927337768,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3000,T_proxy
exp108,-0.269138460634559,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3000,T_proxy
exp109,-0.23845183337550888,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,4000,T_proxy
exp11,-0.30693225270872804,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,456,T_proxy
exp110,-0.3221212141793975,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,4000,T_proxy
exp111,-0.18822964866886088,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,4000,T_proxy
exp112,-0.23067254551311847,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,4000,T_proxy
exp113,-0.15951833680390282,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,5000,T_proxy
exp114,-0.12416265857739679,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,5000,T_proxy
exp115,-0.21601155387100324,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,5000,T_proxy
exp116,-0.39074970007306004,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,5000,T_proxy
exp117,-0.16937661442217664,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,6000,T_proxy
exp118,-0.3443725602883903,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,6000,T_proxy
exp119,-0.20825576719206645,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,6000,T_proxy
exp12,-0.3078886775711184,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,456,T_proxy
exp120,-0.13912178513175957,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,6000,T_proxy
exp13,-0.12791460964571852,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
exp14,-0.2688162262535602,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
exp15,0.01459871740734756,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
exp16,-0.02608964475326616,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
