exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.20276666513784866,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp2,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.21326298999991958,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp3,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1404029783745934,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp4,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13976367700734163,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp5,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.0027973775497151226,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp6,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.03253384845172618,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp7,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12631955851219928,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp8,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13733148267895154,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp9,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.2810473187649961,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp10,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.2325083501262393,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp11,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10824832712589204,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp12,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.0753136455261206,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp13,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.08687576822056595,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp14,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.0013073617529329549,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp15,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.2516333159985382,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
exp16,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.05701121315584059,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,0.024651899414545736
exp17,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.06502050881852142,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.005639201464724464
