exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.03624573020932061,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp2,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.018600243196546417,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp3,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.006802327886417411,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp4,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.019268912129545897,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp5,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.004566465674207714,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp6,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.02064656491579183,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp7,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.03547475884986172,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp8,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.027789113699556042,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp9,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.013338638482837067,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp10,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.008331556588466228,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp11,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02827524933905595,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp12,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02770380452705538,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp13,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.01874767484437976,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp14,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.026150039192388334,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp15,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.007296234184191096,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp16,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.0030552622220337217,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp17,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.03632137040197909,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
