exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11641287296828787,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp2,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.05172548120540423,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp3,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.0016826617318781393,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp4,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.034374516140662115,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp5,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.022972792658647247,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp6,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.07616076311200398,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp7,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.029114908151663597,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp8,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.034065224011186675,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp9,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.029682290622682544,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp10,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.016724353578259927,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp11,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02831444954874955,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp12,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.05023867324093464,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp13,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.04063555528964663,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp14,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.00788641068941867,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp15,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.035238004104470415,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp16,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.005516501743256586,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp17,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02547329258194474,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp18,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.0033826736114494554,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp19,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.00861536488329974,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp20,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.007157187735719966,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp21,42,timm/efficientvit_m2.r224_in1k,32,3,-0.13911991977363328,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp22,42,timm/efficientvit_m2.r224_in1k,32,3,-0.18075765587929654,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp23,123,timm/efficientvit_m2.r224_in1k,32,3,-0.04252289034849797,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp24,123,timm/efficientvit_m2.r224_in1k,32,3,-0.04208119135103506,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp25,456,timm/efficientvit_m2.r224_in1k,32,3,-0.1523126059534892,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp26,456,timm/efficientvit_m2.r224_in1k,32,3,-0.14026451185839905,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp27,789,timm/efficientvit_m2.r224_in1k,32,3,-0.16396195174594594,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp28,789,timm/efficientvit_m2.r224_in1k,32,3,-0.09829556021730643,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp29,1000,timm/efficientvit_m2.r224_in1k,32,3,-0.13941762105332275,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp30,1000,timm/efficientvit_m2.r224_in1k,32,3,-0.1592689922127317,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp31,2000,timm/efficientvit_m2.r224_in1k,32,3,-0.13244462739282825,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp32,2000,timm/efficientvit_m2.r224_in1k,32,3,-0.09771781577071822,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
exp33,3000,timm/efficientvit_m2.r224_in1k,32,3,-0.1718675651273223,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16017280121231947,-0.16107632491269636
exp34,3000,timm/efficientvit_m2.r224_in1k,32,3,-0.15324394062235747,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15314545922634692,-0.15292455224270654
