exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.16833435886060574,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp2,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1789613705684037,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp3,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1324741359384155,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp4,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.17347905936650174,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp5,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09362702977030668,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp6,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10349297000682733,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp7,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.15061843140201056,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp8,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1779678420701839,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp9,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10900539291237756,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp10,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11814618057525052,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp11,300,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.0962854611680531,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp12,300,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09916291924492557,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp13,400,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1269156549857609,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp14,400,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13619746956989448,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
