exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.17780528749554086,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp2,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.16862181917128186,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
exp3,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1613099419111691,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15868871241095217,-0.17249936689504689
exp4,7000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.199873886267459,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16422768189284076,-0.15937690236471116
exp5,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.140863797550728,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp6,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1647420850807851,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
exp7,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1447112030491434,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15868871241095217,-0.17249936689504689
exp8,8000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1360157458021921,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16422768189284076,-0.15937690236471116
exp9,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09535873126915634,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp10,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.18345735995698578,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
exp11,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.07156612141513641,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15868871241095217,-0.17249936689504689
exp12,9000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09291657981155925,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16422768189284076,-0.15937690236471116
exp13,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.15431206979422232,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp14,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1701837818972469,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
exp15,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1677075487857609,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15868871241095217,-0.17249936689504689
exp16,100,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.14492348568058197,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16422768189284076,-0.15937690236471116
exp17,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11457013276564268,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp18,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1714375511103271,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
exp19,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.22036761265958665,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.15868871241095217,-0.17249936689504689
exp20,200,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.20003741436955558,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.16422768189284076,-0.15937690236471116
exp21,300,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10012544799040465,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17014535456192958,-0.16242836271869773
exp22,300,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1489772845178041,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.2344239287859866,-0.13167304960414383
