experiment,ATE,batch_size,desc,epochs,model_name,seed,treatment_column
exp1,-0.23630303056711768,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp10,-0.054727055439034805,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,1011,T_proxy
exp100,-0.15117394900482267,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2021,T_proxy
exp101,-0.1297828266192182,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2223,T_proxy
exp102,-0.10777519232219278,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2223,T_proxy
exp103,-0.1117688949328423,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2425,T_proxy
exp104,-0.13487542285519397,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2425,T_proxy
exp105,-0.034274427643760784,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2627,T_proxy
exp106,-0.0682144478667822,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2627,T_proxy
exp107,-0.0707514656505744,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2829,T_proxy
exp108,-0.07104117475213223,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,2829,T_proxy
exp109,-0.1356156307873001,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3031,T_proxy
exp11,-0.13151194159466753,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,1213,T_proxy
exp110,-0.1295325881311975,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3031,T_proxy
exp111,-0.23038145400334784,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3233,T_proxy
exp112,-0.24784690743128557,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3233,T_proxy
exp113,-0.11827810850380005,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3435,T_proxy
exp114,-0.14079664939044448,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3435,T_proxy
exp115,-0.12405437532548216,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3637,T_proxy
exp116,-0.1021254163268823,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3637,T_proxy
exp117,-0.08467235779898286,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,3839,T_proxy
