Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,avg_brightness,light_or_dark,T_proxy,outcome,y0,y1,T_plus_pu,T_plus_reg
6197,LOREM Analogue Brown Dial Women's Watch - LR289,accessories,Watches,https://m.media-amazon.com/images/I/91RFr1gcCuL._AC_UL320_.jpg,https://www.amazon.in/LOREM-Analogue-Brown-Womens-Watch/dp/B08RNRKSGN/ref=sr_1_6202?qid=1679155851&s=watches&sr=1-6202,3.0,1,₹389,899.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch6197.jpg,98890.0,52973.67431926014,1,128.20770602836882,0,0,0,0.3764494768356704,0.5733063856036454,0,0
5358,Piraso Times Chain Watch for Women Girls & Anti Eyestrain Eyewear for Men & Women Get Combo Pack of Both Watch & Eyewear -...,accessories,Watches,https://m.media-amazon.com/images/I/61CNPHPmW2L._AC_UL320_.jpg,https://www.amazon.in/Piraso-Analogue-Womens-Eyestrain-Eyewear/dp/B07SCTRF4J/ref=sr_1_5367?qid=1679155821&s=watches&sr=1-5367,3.9,15,₹298,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch5358.jpg,219890.0,9359.568407615492,1,227.78332732438017,1,1,1,0.3764494768356704,0.5733063856036454,1,1
3579,DRITON Combo Pack of Pink Dial Digital Watch with Pink Sunglass for Girl's.,accessories,Watches,https://m.media-amazon.com/images/I/31eK+Sf-8fL._AC_UL320_.jpg,https://www.amazon.in/DRITON-Combo-Digital-Watch-Sunglass/dp/B0B7MC9YXV/ref=sr_1_3588?qid=1679155745&s=watches&sr=1-3588,5.0,1,₹299,999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch3579.jpg,109890.0,348.36447023012323,0,190.2757455555556,0,0,1,0.6236264792174528,0.7866701606799407,1,1
7341,GUESS Analog Gold Dial Women's Watch-GW0408L3,accessories,Watches,https://m.media-amazon.com/images/I/818k2n6mGEL._AC_UL320_.jpg,https://www.amazon.in/GUESS-Analog-Gold-Womens-Watch-GW0408L3/dp/B09R9MB95F/ref=sr_1_7369_mod_primary_new?qid=1679155894&s=watches&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-7369,5.0,1,"₹15,290",16995.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch7341.jpg,1869450.0,17165.512329829875,1,213.6126507476993,1,1,1,0.3764494768356704,0.5733063856036454,1,1
7504,D'SIGNER Analog Pink Dial Women's Watch-674RGM,accessories,Watches,https://m.media-amazon.com/images/I/613m3b6hQbL._AC_UL320_.jpg,https://www.amazon.in/DSIGNER-Analog-Pink-Womens-Watch-674RGM/dp/B07XVXW384/ref=sr_1_7532?qid=1679155899&s=watches&sr=1-7532,1.0,1,"₹2,173",3995.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch7504.jpg,439450.0,10264.983048570411,1,221.0116436141304,1,1,0,0.3764494768356704,0.5733063856036454,1,1
10537,Armani Exchange Women Watch with Sunray Dial - AX5602I (Gold_Free Size),accessories,Watches,https://m.media-amazon.com/images/I/61WJAHTNyPL._AC_UL320_.jpg,https://www.amazon.in/Armani-Exchange-AX5602I/dp/B07R3JD7VZ/ref=sr_1_10565?qid=1679156005&s=watches&sr=1-10565,4.0,2,,12995.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch10537.jpg,1429450.0,12959.601786535455,1,213.693908655303,1,1,1,0.3764494768356704,0.5733063856036454,1,1
8985,Daniel Klein Analog Black Dial Women's Watch-DK12070-4,accessories,Watches,https://m.media-amazon.com/images/I/71LxmX7pwgL._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK12070-4/dp/B07SFRH763/ref=sr_1_9013?qid=1679155952&s=watches&sr=1-9013,3.7,16,"₹2,119",4750.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch8985.jpg,522500.0,6608.347047231197,0,156.98519724934894,0,0,1,0.6236264792174528,0.7866701606799407,0,1
5857,CERO Casual Analogue Women's Watch(Black Dial Multicolor Colored Strap)-MOON01,accessories,Watches,https://m.media-amazon.com/images/I/91kJ9FFaLeL._AC_UL320_.jpg,https://www.amazon.in/CERO-Womens-Magnetic-Multicolour-Watches/dp/B08PS1S4KT/ref=sr_1_5862?qid=1679155839&s=watches&sr=1-5862,4.0,21,₹349,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch5857.jpg,219890.0,24973.07286279716,1,149.63109985259433,0,0,0,0.3764494768356704,0.5733063856036454,0,0
6868,Q&Q Standard Analog Black Dial Women's Watch-GQ13J202Y,accessories,Watches,https://m.media-amazon.com/images/I/61AOBMwdPcL._AC_UL320_.jpg,https://www.amazon.in/Standard-Analog-Black-Womens-GQ13J202Y/dp/B00DYN4MZO/ref=sr_1_6896?qid=1679155876&s=watches&sr=1-6896,4.0,1,"₹1,984",2095.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch6868.jpg,230450.0,9692.21833962842,1,138.85033116776316,0,0,0,0.3764494768356704,0.5733063856036454,0,0
1534,Fastrack Monochrome Analog White Dial Women's Watch-NM6078SL02/NP6078SL02,accessories,Watches,https://m.media-amazon.com/images/I/610c6kutQlL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Monochrome-Analog-Womens-Watch-NK6078SL02/dp/B00GN595HU/ref=sr_1_1543?qid=1679155674&s=watches&sr=1-1543,4.2,664,"₹2,495",2999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/watch1534.jpg,329890.0,2442.604078067425,0,208.54517913359788,1,1,0,0.6236264792174528,0.7866701606799407,1,1
