Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,avg_brightness,light_or_dark,T_proxy,outcome,y0,y1,T_plus_pu,T_plus_reg
8837,sujata Blade for Grinder Jar,appliances,All Appliances,https://m.media-amazon.com/images/I/61pdndXrReL._AC_UL320_.jpg,https://www.amazon.in/sujata-Blade-for-Grinder-Jar/dp/B01NBURSR5/ref=sr_1_8862?qid=1679136089&s=appliances&sr=1-8862,3.9,91,₹179,350.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance8837.jpg,38500.0,1314.912518257801,0,100.15746041666668,0,0,1,0.5237144456028783,0.7099062981119446,1,1
9522,ACTIVA HIGH Speed 390 RPM 1200MM BEE Approved 5 Star Rated Anti DUST Coated Pure Copper Galaxy-1 Ceiling Fan (Silver Blu...,appliances,All Appliances,https://m.media-amazon.com/images/I/31cLZo1mCcL._AC_UL320_.jpg,https://www.amazon.in/ACTIVA-Approved-Galaxy-1-Ceiling-Warranty/dp/B07WKLS3S2/ref=sr_1_9547?qid=1679136124&s=appliances&sr=1-9547,3.6,52,"₹2,605",4980.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance9522.jpg,547800.0,933.1522990086212,0,235.95615733755508,1,0,0,0.5237144456028783,0.7099062981119446,1,1
8253,Stylista Fully Automatic Top Load Washing Machine Cover compatible for 6.5 kg to 7 kg Emperador Marble Dark Brown (HxWxD) ...,appliances,All Appliances,https://m.media-amazon.com/images/I/51ap2jB1KvL._AC_UL320_.jpg,https://www.amazon.in/Stylista-Automatic-compatible-Emperador-38-9x22x22-4/dp/B0BDRQKBFP/ref=sr_1_8278?qid=1679136057&s=appliances&sr=1-8278,2.9,9,₹499,999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance8253.jpg,109890.0,3475.775990927867,1,155.3542229679803,0,0,0,0.4762855543971216,0.669311116315417,0,0
4218,Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White),appliances,All Appliances,https://m.media-amazon.com/images/I/71CY8Tc4oZL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Glory-500-Watt-Mixer-grinder/dp/B010FVFK30/ref=sr_1_4219_mod_primary_new?qid=1679135832&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4219,4.1,1024,"₹2,549",3475.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance4218.jpg,382250.0,3378.445537353261,1,231.7533975806452,1,1,1,0.4762855543971216,0.669311116315417,1,1
2845,KONVIO NEER RO Service Kit of Membrane for All Type Of RO Water Purifier (Carbon+ Sediment+ Spun+ Pre Filter Housing+ 75 G...,appliances,All Appliances,https://m.media-amazon.com/images/I/61zLTAf1B+S._AC_UL320_.jpg,https://www.amazon.in/KONVIO-NEER-Membrane-Purifier-Connectors/dp/B08KG8CVP7/ref=sr_1_2846?qid=1679135755&s=appliances&sr=1-2846,4.1,310,"₹1,599",1999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance2845.jpg,219890.0,6283.359555334069,1,227.2446534245208,1,1,0,0.4762855543971216,0.669311116315417,1,1
7456,KANUSHI industries® 100% Waterproof And Dustproof Window Front AC Cover 1.5 to 2.0 Ton Capacity (AC-WIN-FRONT-W.F-NW-NEW-01),appliances,All Appliances,https://m.media-amazon.com/images/I/616lJFfsguL._AC_UL320_.jpg,https://www.amazon.in/KANUSHI-industries%C2%AE-Waterproof-Dustproof-AC-WIN-FRONT-W-F-NW-NEW-01/dp/B0BRV3541H/ref=sr_1_7481?qid=1679136014&s=appliances&sr=1-7481,5.0,1,₹279,999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance7456.jpg,109890.0,8160.232454976087,1,145.04186437780268,0,0,1,0.4762855543971216,0.669311116315417,0,0
3974,"ANNA ALUMINIUM Chakson Choodarapetty Aluminum Pot Thermal Rice Cooker (1 Kg,6.4 Liters)",appliances,All Appliances,https://m.media-amazon.com/images/I/51Ifg0hMM0L._AC_UL320_.jpg,https://www.amazon.in/ANNA-ALUMINIUM-Choodarapetty-Induction-Aluminum/dp/B07VVVRNFS/ref=sr_1_3975?qid=1679135818&s=appliances&sr=1-3975,4.2,188,,1950.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance3974.jpg,214500.0,1916.763779490257,0,145.64634164907093,0,0,0,0.5237144456028783,0.7099062981119446,0,0
3806,KHC Drain Hose Pipe for Semi and Top Load Washing Machine (1.5 Meter),appliances,All Appliances,https://m.media-amazon.com/images/I/51+FXorK4KL._AC_UL320_.jpg,https://www.amazon.in/KHC-UNIVERSAL-EXTENSION-DISCHARGE-Automatic/dp/B07DHQRVXR/ref=sr_1_3807?qid=1679135809&s=appliances&sr=1-3807,4.3,210,₹225,499.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance3806.jpg,54890.0,448.5965951391124,0,227.21435962380573,1,1,1,0.5237144456028783,0.7099062981119446,1,1
1902,"Bajaj ATX 3 700-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow...",appliances,All Appliances,https://m.media-amazon.com/images/I/61QwK12-ZVL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-ATX-750-Watt-Pop-up-Toaster/dp/B009P2KXNS/ref=sr_1_1903_mod_primary_new?qid=1679135702&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1903,3.7,908,"₹1,529",2025.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance1902.jpg,222750.0,2257.396103622893,0,151.29642172571656,0,0,0,0.5237144456028783,0.7099062981119446,1,0
9147,"KITCHEN WORLD Super designer 1 Fridge Cover,6 PVC Mat, 2 Handle Cover,Fridge cover set combo, refrigerator cover,fridge co...",appliances,All Appliances,https://m.media-amazon.com/images/I/61WkOcYjbCL._AC_UL320_.jpg,https://www.amazon.in/KITCHEN-WORLD-designer-Fridge-refrigerator/dp/B09RGRKHJY/ref=sr_1_9172?qid=1679136105&s=appliances&sr=1-9172,3.0,3,₹259,999.0,/root/graduation_thetis/causal-bert-pytorch/input/allimages/appliance9147.jpg,109890.0,3753.310055253505,1,157.38553248046873,0,0,1,0.4762855543971216,0.669311116315417,0,0
